日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門售電量(度),服務業部門用電佔比(%),機關用電售電量(度),機關用電用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),合計售電量(度),縣市用電佔比(%)
2013年02月,宜蘭縣,55123919,0.5446,31874480,0.3149,10033920,0.0991,4182636,0.0413,101214955,1.7308606559327
2013年02月,新竹縣,73938623,0.5715,44577559,0.3446,9836562,0.076,1015821,0.0079,129368565,2.2123110095042
2013年02月,苗栗縣,54910583,0.5456,32645833,0.3244,11830289,0.1175,1260370,0.0125,100647075,1.7211494314473
2013年02月,彰化縣,146800997,0.5206,81590061,0.2893,25602004,0.0908,28013014,0.0993,282006076,4.8225405196532
2013年02月,南投縣,61885980,0.5491,33370226,0.2961,10653954,0.0945,6797616,0.0603,112707776,1.9273975382006
2013年02月,雲林縣,77846828,0.5195,34990767,0.2335,14344628,0.0957,22677557,0.1513,149859780,2.5627279793657
2013年02月,嘉義縣,53340402,0.5231,21155817,0.2075,12002936,0.1177,15475768,0.1518,101974923,1.7438567463916
2013年02月,屏東縣,94417232,0.455,46445861,0.2238,17669596,0.0851,48981454,0.236,207514143,3.5486659621427
2013年02月,台東縣,25294546,0.5187,14635282,0.3001,6706396,0.1375,2127649,0.0436,48763873,0.83390314412135
2013年02月,花蓮縣,41177865,0.4924,29569397,0.3536,11070692,0.1324,1808412,0.0216,83626366,1.4300810261491
2013年02月,基隆市,51414480,0.6082,25670174,0.3037,7443113,0.088,8965,0.0001,84536732,1.4456490486009
2013年02月,新竹市,60168927,0.4659,54194789,0.4196,14265094,0.1104,526231,0.0041,129155041,2.2086595699448
2013年02月,嘉義市,32778445,0.4926,27134619,0.4078,6021466,0.0905,611393,0.0092,66545923,1.1379911193304
2013年02月,澎湖縣,9524180,0.5452,4070399,0.233,3556952,0.2036,319052,0.0183,17470583,0.29876162816955
2013年02月,金門縣,5122135,0.4421,2939917,0.2537,3379133,0.2916,145920,0.0126,11587105,0.19814921777776
2013年02月,連江縣,1121701,0.3713,1126332,0.3729,755184,0.25,17575,0.0058,3020792,0.051658077826112
2013年02月,合計,2894994453,0.4951,2253856218,0.3854,509599136,0.0871,189216477,0.0324,5847666284,100
2013年01月,新北市,537345844,0.5237,417997844,0.4074,69125556,0.0674,1551848,0.0015,1026021092,15.766942804363
2013年01月,台北市,360289322,0.328,610765069,0.556,126016769,0.1147,1462817,0.0013,1098533977,16.881253727685
2013年01月,桃園市,264266539,0.4721,242768326,0.4337,50724691,0.0906,1971596,0.0035,559731152,8.6014304464264
2013年01月,台中市,353611612,0.4437,364638755,0.4576,66002201,0.0828,12684883,0.0159,796937451,12.246597371677
